iter	RMSE
0	0.176665229
1	0.1702901538
2	0.1641561313
3	0.1583959247
4	0.1533540737
5	0.1481163249
6	0.143390427
7	0.1392029497
8	0.1349166086
9	0.1308738028
10	0.1272523927
11	0.1237681825
12	0.1203132657
13	0.1172768653
14	0.1144310714
15	0.1117718726
16	0.109271948
17	0.1070255791
18	0.1047929348
19	0.1029367071
20	0.1010228941
21	0.09933252479
22	0.09772511365
23	0.0963075595
24	0.09507813195
25	0.09386227339
26	0.09272245085
27	0.09174717138
28	0.09073930987
29	0.08985932141
30	0.08898601872
31	0.08825028613
32	0.08749131133
33	0.08681301105
34	0.08613281036
35	0.08558463289
36	0.08506155559
37	0.0845941853
38	0.08414402946
39	0.08376751304
40	0.08338801809
41	0.08306962087
42	0.08275601125
43	0.08244422969
44	0.08220664757
45	0.08193803704
46	0.08170748683
47	0.08150669834
48	0.08132676286
49	0.08114904947
50	0.08094582463
51	0.08077140767
52	0.08063853019
53	0.08049492105
54	0.08035934085
55	0.0802231829
56	0.08012796836
57	0.08001466074
58	0.0799210347
59	0.0798240577
60	0.07972962782
61	0.07966252428
62	0.07959441758
63	0.07952537437
64	0.07946182689
65	0.07940675808
66	0.07934151226
67	0.07929146329
68	0.07920316323
69	0.07914567987
70	0.07909967088
71	0.07905732157
72	0.07902320592
73	0.07899330135
74	0.07895615953
75	0.07892993825
76	0.07886630729
77	0.07883555783
78	0.07880340239
79	0.0787808724
80	0.07874678229
81	0.0787174055
82	0.07869881166
83	0.07867421313
84	0.07865100931
85	0.07859662272
86	0.07855975228
87	0.07852208593
88	0.07851103173
89	0.07849860407
90	0.07846231949
91	0.07843973532
92	0.07840149448
93	0.07838376359
94	0.07837458137
95	0.07834813346
96	0.07831408032
97	0.07829359206
98	0.07824735379
99	0.07823176494
100	0.07821180982
101	0.07819627568
102	0.07815913497
103	0.07812114559
104	0.07809587462
105	0.07806424998
106	0.07804830568
107	0.07803507833
108	0.07801103269
109	0.07798647046
110	0.07797302716
111	0.07796579534
112	0.07791092015
113	0.07789868988
114	0.07788090631
115	0.07786182446
116	0.07784986778
117	0.07784149423
118	0.07781785759
119	0.07781491003
120	0.07780086476
121	0.07777532765
122	0.07775656877
123	0.07774627538
124	0.07773875263
125	0.07772388924
126	0.07771258417
127	0.07769029141
128	0.07768241116
129	0.07767105556
130	0.0776364118
131	0.07761176709
132	0.07760004328
133	0.07758254731
134	0.07755946551
135	0.07754275794
136	0.07752356326
137	0.07749189758
138	0.07748362017
139	0.07747854426
140	0.07744930079
141	0.0774235449
142	0.07741283794
143	0.07739169355
144	0.077374071
145	0.0773426044
146	0.07731525758
147	0.07730038798
148	0.07729350015
149	0.07727959394
150	0.07727012025
151	0.07725152228
152	0.07723917409
153	0.07722525925
154	0.07721689801
155	0.07719836356
156	0.07718636267
157	0.07716332473
158	0.07714344391
159	0.07713300421
160	0.07712478288
161	0.07711487466
162	0.0771106056
163	0.07709476199
164	0.07709067471
165	0.07709021857
166	0.07706648911
167	0.07706123959
168	0.07705281106
169	0.07704355755
170	0.07702312784
171	0.07700879678
172	0.0769914734
173	0.07698474473
174	0.07696440869
175	0.07695566604
176	0.07694777354
177	0.07692285529
178	0.07690003307
179	0.07686571211
180	0.07684590073
181	0.07683346977
182	0.07681601438
183	0.07679770403
184	0.07677409013
185	0.07674464923
186	0.076726833
187	0.07671196752
188	0.07669606628
189	0.07668671147
190	0.07666641695
191	0.07663403097
192	0.07659059121
193	0.07657692093
194	0.07655671203
195	0.07653650026
196	0.07652239589
197	0.07651401909
198	0.07650311775
199	0.07647441029
200	0.07645525268
201	0.07643997439
202	0.07641633217
203	0.07638810769
204	0.07636663213
205	0.07635612139
206	0.07634433522
207	0.07632945015
208	0.07632400302
209	0.0763116619
210	0.07630306311
211	0.07628140786
212	0.07627534849
213	0.07625941204
214	0.07623956669
215	0.07620655914
216	0.0761698817
217	0.07615219126
218	0.07613640375
219	0.07611817602
220	0.07610584514
221	0.07608707995
222	0.07606169545
223	0.07603793227
224	0.07599556584
225	0.07598309635
226	0.07594513945
227	0.075918534
228	0.07590188212
229	0.07586616187
230	0.07585588929
231	0.07584081573
232	0.0758140283
233	0.07580190059
234	0.07579544381
235	0.07578079786
236	0.07576665299
237	0.07574334197
238	0.07573013217
239	0.07571575648
240	0.07570590723
241	0.0756860048
242	0.0756692045
243	0.07566524705
244	0.07564503753
245	0.07563678526
246	0.07562617191
247	0.0756117199
248	0.07558603022
249	0.07555666252
250	0.07554148376
251	0.07553364891
252	0.07550375884
253	0.07548052129
254	0.07546417298
255	0.07543835598
256	0.07541632384
257	0.07540390158
258	0.07539230615
259	0.07537026477
260	0.07535505061
261	0.07534377064
262	0.07532333701
263	0.07530317701
264	0.07529303014
265	0.0752807946
266	0.07526506585
267	0.07525410564
268	0.07524092422
269	0.07521861489
270	0.07520499105
271	0.07518863497
272	0.07516807701
273	0.07515058643
274	0.07513991803
275	0.07512247103
276	0.07509951321
277	0.07507991906
278	0.07507250896
279	0.0750619487
280	0.07504878
281	0.07502685888
282	0.07500970817
283	0.07499206761
284	0.07495853444
285	0.07495360736
286	0.07494336802
287	0.07491904166
288	0.07489749207
289	0.07488168714
290	0.07485781854
291	0.07482739688
292	0.07481292008
293	0.07480178148
294	0.07478323209
295	0.07477126807
296	0.07475928305
297	0.07474171027
298	0.07472951481
299	0.07471726641
300	0.07470608452
301	0.07467996267
302	0.07466284491
303	0.07466085814
304	0.07465109408
305	0.07464210024
306	0.07462373116
307	0.0746163749
308	0.07459716994
309	0.07458202336
310	0.07455813634
311	0.07454337728
312	0.07453334656
313	0.07452358857
314	0.07449402647
315	0.07448282336
316	0.07447470709
317	0.07445852344
318	0.07445090674
319	0.07442603788
320	0.0744206175
321	0.07440672077
322	0.07438829136
323	0.07437135187
324	0.07435299596
325	0.07434113431
326	0.07432459225
327	0.07431655401
328	0.07430466215
329	0.0742973197
330	0.07428242284
331	0.07427471602
332	0.07426664852
333	0.07425497408
334	0.07424261609
335	0.07423292056
336	0.07422073628
337	0.07420735752
338	0.0741977356
339	0.07418471316
340	0.07417972173
341	0.07415331289
342	0.07412729918
343	0.07411709818
344	0.07410706111
345	0.07410503808
346	0.07408545222
347	0.07407377697
348	0.07406321242
349	0.07404678726
350	0.07403394517
351	0.07402632602
352	0.07400651395
353	0.07399765901
354	0.07398151028
355	0.07397101979
356	0.07396508121
357	0.07394849324
358	0.07393218814
359	0.07391406375
